postcode,district,region,grid_square,lat,lon,os_footprints,osm_footprints,os_area_m2,osm_area_m2,missing_footprints,missing_area_m2,missing_share,missing_area_share,missing_outbuilding,missing_housesized,missing_large,osm_only_footprints,chosen_not_drawn
NE28 8PW,North Tyneside,North East,NZ,55.004125,-1.548415,11683,18824,3745081,3307018,1027,88879,0.088,0.024,651,366,10,493,
OL10 2ED,Rochdale,North West,SD,53.587388,-2.209317,8673,5662,2350839,1201204,5758,1000533,0.664,0.426,909,4420,429,94,
YO18 7DT,North Yorkshire,Yorkshire and The Humber,SE,54.243233,-0.771984,3243,3779,612934,517126,586,43811,0.181,0.071,341,236,9,138,
YO23 3US,York,Yorkshire and The Humber,SE,53.919065,-1.146076,4277,6751,790925,637637,502,28750,0.117,0.036,366,131,5,237,
S71 5PT,Barnsley,Yorkshire and The Humber,SE,53.5557,-1.439035,12085,21609,2300399,1831358,2034,119035,0.168,0.052,1405,613,16,161,
SK17 7DX,High Peak,East Midlands,SK,53.264,-1.902781,4661,2417,1093069,538904,2981,471092,0.64,0.431,538,2303,140,200,
BS3 9GJ,"Bristol, City of",South West,ST,51.438707,-2.601529,12598,44198,5257990,4713109,1244,80273,0.099,0.015,859,368,17,2510,
SN3 4DU,Swindon,South West,SU,51.57249,-1.747301,11958,32612,3954567,4018655,1406,79307,0.118,0.02,1024,368,14,1101,
PO3 6NU,Portsmouth,South East,SU,50.808622,-1.056368,6315,24296,3367127,3484448,1772,430039,0.281,0.128,751,727,294,4883,
NR28 0SS,North Norfolk,East of England,TG,52.828323,1.388971,4510,4238,882629,547269,1876,246658,0.416,0.279,522,1309,45,262,
HA0 3FF,Brent,London,TQ,51.558747,-0.312039,14216,6487,5078374,2313897,10576,2307803,0.744,0.454,2931,6188,1457,96,
DA12 2JT,Gravesham,South East,TQ,51.43831,0.391798,8815,3617,2348683,775273,7213,1298217,0.818,0.553,1661,4919,633,174,
KT23 3HP,Mole Valley,South East,TQ,51.28668,-0.384959,7011,2951,1192419,433190,4794,723817,0.684,0.607,932,3686,176,240,yes
